Order_ID,Date,Product,Region,Quantity,Unit_Price,Revenue,Cost,Profit
ORD-1064,2026-04-06 07:03:31.764705882,Webcam,Mansoura,7,40.0,280,192.88,87.12
ORD-1065,2026-04-07 19:21:40.840336134,Keyboard,Giza,4,35.0,140,109.42,30.58
ORD-1066,2026-04-09 07:39:49.915966386,Wireless Mouse,Giza,1,20.0,20,13.5,6.5
ORD-1067,2026-04-10 19:57:58.991596638,Webcam,Cairo,3,75.0,225,147.14,77.86
ORD-1068,2026-04-12 08:16:08.067226890,Keyboard,Alexandria,4,75.0,300,216.8,83.2
ORD-1069,2026-04-13 20:34:17.142857142,Laptop Stand,Alexandria,3,15.0,45,27.99,17.01
ORD-1070,2026-04-15 08:52:26.218487394,Keyboard,Alexandria,1,60.0,60,35.26,24.74
ORD-1071,2026-04-16 21:10:35.294117646,USB Hub,Mansoura,5,15.0,75,50.93,24.07
ORD-1072,2026-04-18 09:28:44.369747898,Wireless Mouse,Mansoura,5,60.0,300,198.77,101.23
ORD-1073,2026-04-19 21:46:53.445378150,Keyboard,Mansoura,1,75.0,75,45.96,29.04
ORD-1074,2026-04-21 10:05:02.521008402,Laptop Stand,Alexandria,2,20.0,40,25.97,14.03
ORD-1075,2026-04-22 22:23:11.596638654,USB Hub,Tanta,2,35.0,70,45.42,24.58
ORD-1076,2026-04-24 10:41:20.672268908,Keyboard,Cairo,5,20.0,100,63.84,36.16
ORD-1077,2026-04-25 22:59:29.747899160,Wireless Mouse,Alexandria,6,40.0,240,156.59,83.41
ORD-1078,2026-04-27 11:17:38.823529412,Wireless Mouse,Cairo,6,100.0,600,441.09,158.91
ORD-1079,2026-04-28 23:35:47.899159664,Headset,Alexandria,7,15.0,105,66.17,38.83
ORD-1080,2026-04-30 11:53:56.974789916,USB Hub,Tanta,6,30.0,180,145.11,34.89
ORD-1081,2026-05-02 00:12:06.050420168,Webcam,Alexandria,3,100.0,300,239.22,60.78
ORD-1082,2026-05-03 12:30:15.126050420,Keyboard,Tanta,1,30.0,30,20.4,9.6
ORD-1083,2026-05-05 00:48:24.201680672,Laptop Stand,Giza,5,20.0,100,63.87,36.13
ORD-1084,2026-05-06 13:06:33.277310924,USB Hub,Mansoura,7,35.0,245,170.17,74.83
ORD-1085,2026-05-08 01:24:42.352941176,Headset,Giza,7,40.0,280,218.15,61.85
ORD-1086,2026-05-09 13:42:51.428571428,USB Hub,Alexandria,2,50.0,100,72.62,27.38
ORD-1087,2026-05-11 02:01:00.504201680,Laptop Stand,Mansoura,2,30.0,60,46.03,13.97
ORD-1088,2026-05-12 14:19:09.579831932,Wireless Mouse,Tanta,1,100.0,100,69.38,30.62
ORD-1089,2026-05-14 02:37:18.655462184,USB Hub,Alexandria,1,40.0,40,28.84,11.16
ORD-1090,2026-05-15 14:55:27.731092436,USB Hub,Mansoura,4,25.0,100,62.78,37.22
ORD-1091,2026-05-17 03:13:36.806722688,Keyboard,Alexandria,4,100.0,400,299.37,100.63
ORD-1092,2026-05-18 15:31:45.882352940,USB Hub,Mansoura,3,,300,181.39,118.61
ORD-1093,2026-05-20 03:49:54.957983192,Webcam,Mansoura,3,35.0,105,77.45,27.55
ORD-1094,2026-05-21 16:08:04.033613444,Keyboard,Giza,6,15.0,90,70.42,19.58
ORD-1095,2026-05-23 04:26:13.109243696,Webcam,Mansoura,4,40.0,160,93.71,66.29
ORD-1096,2026-05-24 16:44:22.184873948,Wireless Mouse,Alexandria,6,40.0,240,171.81,68.19
ORD-1097,2026-05-26 05:02:31.260504200,Wireless Mouse,Cairo,7,20.0,140,80.59,59.41
ORD-1098,2026-05-27 17:20:40.336134454,USB Hub,Cairo,3,50.0,150,111.89,38.11
ORD-1099,2026-05-29 05:38:49.411764706,Headset,Giza,2,75.0,150,85.92,64.08
ORD-1100,2026-05-30 17:56:58.487394958,Laptop Stand,Tanta,7,20.0,140,112.38,27.62
ORD-1101,2026-06-01 06:15:07.563025210,USB Hub,Cairo,5,60.0,300,176.13,123.87
ORD-1102,2026-06-02 18:33:16.638655462,Wireless Mouse,Giza,3,20.0,60,48.53,11.47
ORD-1103,2026-06-04 06:51:25.714285714,USB Hub,Mansoura,5,60.0,300,229.87,70.13
ORD-1104,2026-06-05 19:09:34.789915966,Laptop Stand,Alexandria,4,35.0,140,99.44,40.56
ORD-1105,2026-06-07 07:27:43.865546218,USB Hub,Mansoura,7,15.0,105,79.94,25.06
ORD-1106,2026-06-08 19:45:52.941176470,USB Hub,Alexandria,2,100.0,200,152.94,47.06
ORD-1107,2026-06-10 08:04:02.016806722,USB Hub,Tanta,7,20.0,140,112.76,27.24
ORD-1108,2026-06-11 20:22:11.092436974,Headset,Giza,7,40.0,280,173.16,106.84
ORD-1109,2026-06-13 08:40:20.168067226,Keyboard,Giza,2,20.0,40,28.37,11.63
ORD-1110,2026-06-14 20:58:29.243697478,USB Hub,Cairo,2,100.0,200,115.13,84.87
ORD-1111,2026-06-16 09:16:38.319327730,Wireless Mouse,Giza,4,60.0,240,171.93,68.07
ORD-1112,2026-06-17 21:34:47.394957982,USB Hub,Tanta,1,75.0,75,44.72,30.28
ORD-1113,2026-06-19 09:52:56.470588234,Headset,Cairo,3,35.0,105,73.77,31.23
ORD-1114,2026-06-20 22:11:05.546218486,Keyboard,Mansoura,4,35.0,140,98.64,41.36
ORD-1115,2026-06-22 10:29:14.621848738,Headset,Giza,7,50.0,350,236.54,113.46
ORD-1116,2026-06-23 22:47:23.697478990,Headset,Mansoura,7,60.0,420,290.27,129.73
ORD-1117,2026-06-25 11:05:32.773109242,Laptop Stand,Mansoura,2,75.0,150,113.44,36.56
ORD-1118,2026-06-26 23:23:41.848739494,Laptop Stand,Giza,7,15.0,105,80.41,24.59
ORD-1119,2026-06-28 11:41:50.924369748,Wireless Mouse,Alexandria,1,50.0,50,34.14,15.86
ORD-1120,2026-06-30 00:00:00.000000000,Laptop Stand,Mansoura,6,20.0,120,85.43,34.57
